OBJECTID;date_;time_value_ms;time_uncertainty;latitude_value;longitude_value;depth_value;magnitude_value_M;quality_associatedPhaseCount;quality_usedPhaseCount;quality_associatedStationCount;quality_usedStationCount;quality_standardError;quality_azimuthalGap;quality_maximumDistance;quality_minimumDistance;quality_medianDistance;Tiempo
1;1/1/16 13:57;823.840.000.000.000.000.000;1.733.984.070.000.000;-0.557869260000000;-81.367.073.059.999.800;10.000.000.000.000.000;4.167.721.590.000.000;31.000.000.000.000.000;28.000.000.000.000.000;30.000.000.000.000.000;27.000.000.000.000.000;0.905514760000000;270.651.916.500.000.000;3.704.198.600.000.000;0.758628310000000;2.987.011.190.000.000;1/1/16 13:57
2;1/1/16 17:15;365.272.000.000.000.000.000;0.173426150000000;0.390046630000000;-78.960.174.559.999.800;6.000.000.000.000.000;5.243.619.920.000.000;110.000.000.000.000.000;85.000.000.000.000.000;103.000.000.000.000.000;80.000.000.000.000.000;0.548693700000000;52.460.401.539.999.900;4.064.985.750.000.000;0.219046040000000;1.018.169.760.000.000;1/1/16 17:15
3;2/1/16 04:59;201.850.000.000.000.000.000;0.311959050000000;0.356808280000000;-78.947.143.550.000.000;4.080.554.490.000.000;4.210.785.090.000.000;94.000.000.000.000.000;33.000.000.000.000.000;87.000.000.000.000.000;26.000.000.000.000.000;0.267985220000000;146.567.672.700.000.000;0.875796680000000;0.190761250000000;0.611819920000000;2/1/16 04:59
4;2/1/16 05:07;743.696.000.000.000.000.000;0.307634920000000;0.350166920000000;-78.949.897.770.000.000;3.935.603.140.000.000;4.019.447.540.000.000;86.000.000.000.000.000;35.000.000.000.000.000;80.000.000.000.000.000;29.000.000.000.000.000;0.248951420000000;145.449.623.100.000.000;1.000.144.240.000.000;0.190206160000000;0.610247670000000;2/1/16 05:07
5;2/1/16 15:02;19.591.000.000.000.000.000;0.341857560000000;-1.981.699.230.000.000;-79.767.974.850.000.000;80.035.140.990.000.000;4.747.151.550.000.000;77.000.000.000.000.000;70.000.000.000.000.000;72.000.000.000.000.000;68.000.000.000.000.000;0.535547570000000;96.442.565.920.000.000;3.332.343.580.000.000;1.020.612.240.000.000;1.861.367.820.000.000;2/1/16 15:02
6;4/1/16 17:03;587.633.000.000.000.000.000;0.230537400000000;-2.395.323.510.000.000;-79.808.364.870.000.000;43.910.903.930.000.000;3.989.380.260.000.000;64.000.000.000.000.000;54.000.000.000.000.000;60.000.000.000.000.000;50.000.000.000.000.000;0.666402620000000;99.306.930.539.999.800;3.030.085.560.000.000;0.351505760000000;2.024.559.740.000.000;4/1/16 17:03
7;4/1/16 19:18;317.576.000.000.000.000.000;0.690647270000000;-3.005.591.150.000.000;-79.858.901.979.999.800;12.168.913.840.000.000;3.520.528.030.000.000;7.000.000.000.000.000;7.000.000.000.000.000;4.000.000.000.000.000;4.000.000.000.000.000;0.956043900000000;131.545.387.299.998.000;1.308.103.320.000.000;0.312361990000000;0.577315690000000;4/1/16 19:18
8;6/1/16 09:06;539.833.000.000.000.000.000;0.245687060000000;0.888597610000000;-79.599.105.829.999.900;6.432.357.790.000.000;3.736.663.400.000.000;77.000.000.000.000.000;66.000.000.000.000.000;70.000.000.000.000.000;59.000.000.000.000.000;0.843568030000000;112.540.588.400.000.000;2.477.863.070.000.000;0.133465160000000;1.602.478.980.000.000;6/1/16 09:06
9;11/1/16 08:21;926.650.000.000.000.000.000;0.481439150000000;-2.736.999.750.000.000;-78.207.901.000.000.000;15.000.000.000.000.000;4.148.494.770.000.000;80.000.000.000.000.000;34.000.000.000.000.000;74.000.000.000.000.000;32.000.000.000.000.000;1.018.834.670.000.000;210.662.837.499.999.000;2.741.325.140.000.000;0.501551390000000;2.014.571.670.000.000;11/1/16 08:21
10;20/1/16 02:59;852.617.000.000.000.000.000;0.342030060000000;-2.627.770.660.000.000;-78.112.205.509.999.800;10.000.000.000.000.000;3.779.571.470.000.000;65.000.000.000.000.000;56.000.000.000.000.000;57.000.000.000.000.000;48.000.000.000.000.000;1.346.522.610.000.000;200.409.461.999.999.000;2.627.552.510.000.000;0.628503500000000;1.919.580.580.000.000;20/1/16 02:59
