Numero;Año ;Provincia;Cantón;Parroquia;Nombre comercial;Clasificación;Categoría;Tipología ;Registro;Número de habitaciones;Número de plazas;Latitud;Longitud
1;2019;Loja;Zapotillo;Zapotillo;Mi Familia;Hotel;Segunda;Planta turística;Ministerio de Turismo;33;56;-4,387288;-80,243508
2;2019;Loja;Zapotillo;Zapotillo;Bamrua Internacional;Hotel;2 estrellas;Planta turística;Ministerio de Turismo;30;83;-4,385154;-80,243282
3;2019;Loja;Zapotillo;Zapotillo;Bianfer;Hotel;3 estrellas;Planta turística;Ministerio de Turismo;14;44;-4.382.990;-80,241238
4;2019;Loja;Zapotillo;Zapotillo;Los Charanes;Hostal;Segunda;Planta turística;Ministerio de Turismo;23;47;-4,386003;-80,244101
5;2019;Loja;Zapotillo;Zapotillo;Los Ángeles;Hostal;1 Estrella;Planta turística;Ministerio de Turismo;10;17;-4,386613;-80,243687
6;2019;Loja;Zapotillo;Zapotillo;Los Guayacanes;Hostal;3 Estrellas;Planta turística;Ministerio de Turismo;12;28;-4,387163;-80,242016
7;2019;Loja;Zapotillo;Zapotillo;Varcor Hostal;Hostal;1 Estrella;Planta turística;Ministerio de Turismo;8;10;-4,388564;-80,244327
8;2019;Loja;Zapotillo;Zapotillo;Verdes Tamarindos;Hostal;1 Estrella;Planta turística;Ministerio de Turismo;12;20;-4,385412;-80,244017
9;2019;Loja;Zapotillo;Zapotillo;Zapotillo;Hostal;1 Estrella;Planta turística;Ministerio de Turismo;11;20;-4,387846;-80,244987
10;2019;Loja;Zapotillo;Zapotillo;La Cabuya D&N;Alimentos & bebidas;Tercera;Planta turística;Ministerio de Turismo;;64;-4,388973;-80,243622
11;2019;Loja;Zapotillo;Zapotillo;Cerca del Sol;Restaurante;Tercera;Planta turística;Ministerio de Turismo;;36;-4.841.090;-80,242697
12;2019;Loja;Zapotillo;Zapotillo;Zona Refrescante Burneo & A;Alimentos & bebidas;Tercera;Planta turística;Ministerio de Turismo;;16;-4,387324;-80,243269
13;2019;Loja;Zapotillo;Zapotillo;Coronel Requena & Asociados;Agencia de viajes;Operador turístico;Planta turística;Ministerio de Turismo;;;-4,386828;-80,244311
14;2019;Loja;Zapotillo;Zapotillo;Las Palmeras;Hostal;Segunda;Planta turística;Ministerio del Interior;6;6;-4,387878;-80,244928
15;2019;Loja;Zapotillo;Paletillas;Paletillas;Hostal;Segunda;Planta turística;Ministerio del Interior;6;10;-4,164806;-80.272.600
16;2019;Loja;Zapotillo;Zapotillo;Sol De Plata;Hostal;Tercera;Planta turística;Ministerio del Interior;7;9;-4,386094;-80,243961
17;2019;Loja;Zapotillo;Paletillas;Teresita ;Hostal;Tercera;Planta turística;Ministerio del Interior;14;21;-4,164789;-80,272536
18;2019;Loja;Zapotillo;Mangahurco;Guayacanes;Hostal;Tercera;Planta turística;Ministerio del Interior;5;10;-4,155603;-80.432.520
19;2019;Loja;Zapotillo;Zapotillo;R. La Esquina Del Buen Sazón ;Restaurante;ND;Planta turística;Ministerio del Interior;;;ND;ND
20;2019;Loja;Zapotillo;Zapotillo;R. Chivo Al Hueco;Restaurante;ND;Planta turística;Ministerio del Interior;;42;-4,388336;-80,246453
21;2019;Loja;Zapotillo;Zapotillo;R. Los Yagairos;Restaurante;ND;Planta turística;Ministerio del Interior;;30;-4,387508;-80,245161
22;2019;Loja;Zapotillo;Zapotillo;R. Pollos Anhy;Restaurante;ND;Planta turística;Ministerio del Interior;;60;-4,387911;-80,244206
23;2019;Loja;Zapotillo;Zapotillo;R. Salón Angélica;Restaurante;ND;Planta turística;Ministerio del Interior;;;ND;ND
24;2019;Loja;Zapotillo;Zapotillo;D´mar y Braza;Restaurante;ND;Planta turística;Ministerio del Interior;;38;-4,387272;-80.244.200
25;2019;Loja;Zapotillo;Zapotillo;Mini Restaurant;Restaurante;ND;Planta turística;Ministerio del Interior;;;ND;ND
26;2019;Loja;Zapotillo;Zapotillo;Encebollados;Restaurante;ND;Planta turística;Ministerio del Interior;;30;-4,386842;-80,245486
27;2019;Loja;Zapotillo;Zapotillo;Rincón Zapotillano;Restaurante;ND;Planta turística;Ministerio del Interior;;;ND;ND
28;2019;Loja;Zapotillo;Zapotillo;Encebollados Sabor Manaba;Restaurante;ND;Planta turística;Ministerio del Interior;;;ND;ND
29;2019;Loja;Zapotillo;Zapotillo;Al Hueco Zapotillano;Restaurante;ND;Planta turística;Ministerio del Interior;;;-4,388238;-80,246378
30;2019;Loja;Zapotillo;Zapotillo;Cevichería Rustica;Restaurante;ND;Planta turística;Ministerio del Interior;;20;-4.387.950;-80,242606
31;2019;Loja;Zapotillo;Zapotillo;Sabor Manaba;Restaurante;ND;Planta turística;Ministerio del Interior;;;ND;ND
32;2019;Loja;Zapotillo;Zapotillo;Aripris;Restaurante;ND;Planta turística;Ministerio del Interior;;;ND;ND
33;2019;Loja;Zapotillo;Zapotillo;Restaurante El Gringo;Restaurante;ND;Planta turística;Ministerio del Interior;;;ND;ND
34;2019;Loja;Zapotillo;Zapotillo;R. Pollería y Marisquería Zapotillana;Restaurante;ND;Planta turística;Ministerio del Interior;;20;-4,388164;-80,246258
35;2019;Loja;Zapotillo;Zapotillo;Rincón del Buen Sabor;Restaurante;ND;Planta turística;Ministerio del Interior;;;ND;ND
36;2019;Loja;Zapotillo;Zapotillo;Bar;Restaurante;ND;Planta turística;Ministerio del Interior;;;ND;ND
37;2019;Loja;Zapotillo;Zapotillo;Comedor El Paraíso;Restaurante;ND;Planta turística;Ministerio del Interior;;;ND;ND
38;2019;Loja;Zapotillo;Zapotillo;Cabaña Nº1;Restaurante;ND;Planta turística;Ministerio del Interior;;32;-4.388.864;-24.358.600
39;2019;Loja;Zapotillo;Zapotillo;Cabaña Nº2;Restaurante;ND;Planta turística;Ministerio del Interior;;34;-4,388192;-80.242.239
40;2019;Loja;Zapotillo;Zapotillo;Cabaña Nº3;Restaurante;ND;Planta turística;Ministerio del Interior;;60;-4.388.192;-80.242.239
41;2019;Loja;Zapotillo;Zapotillo;Cabaña Nº4;Restaurante;ND;Planta turística;Ministerio del Interior;;42;-4.388.192;-80.242.239
42;2019;Loja;Zapotillo;Zapotillo;Cevichería El Gato;Restaurante;ND;Planta turística;Ministerio del Interior;;;ND;ND
43;2019;Loja;Zapotillo;Zapotillo;Marisquería Alison;Restaurante;ND;Planta turística;Ministerio del Interior;;;ND;ND
44;2019;Loja;Zapotillo;Zapotillo;Marisquería Zapotillana;Restaurante;ND;Planta turística;Ministerio del Interior;;8;-4.388.164;-80.246.258
45;2019;Loja;Zapotillo;Zapotillo;Parrilladas Muñeca;Restaurante;ND;Planta turística;Ministerio del Interior;;8;-4.383.925;-80.241.069
46;2019;Loja;Zapotillo;Zapotillo;Parrillas El Chino;Restaurante;ND;Planta turística;Ministerio del Interior;;20;-4.387.400;-80.244.464
47;2019;Loja;Zapotillo;Zapotillo;Parrilladas Colombia ;Restaurante;ND;Planta turística;Ministerio del Interior;;57;-4.386.083;-80.243.092
48;2019;Loja;Zapotillo;Zapotillo;Marisquería Alexandrita;Restaurante;ND;Planta turística;Ministerio del Interior;;38;-4.388.306;-80.244.028
49;2019;Loja;Zapotillo;Zapotillo;R. Doña Reina;Restaurante;ND;Planta turística;Ministerio del Interior;;20;-4.386.403;-80.245.103
50;2019;Loja;Zapotillo;Zapotillo;Bar Restaurant 5 Estrellas;Bares y Discotecas;ND;Planta turística;Ministerio del Interior;;;ND;ND
51;2019;Loja;Zapotillo;Zapotillo;Bar Le Cocó;Bares y Discotecas;ND;Planta turística;Ministerio del Interior;;28;-4.388.003;-80.244.033
52;2019;Loja;Zapotillo;Zapotillo;Distk. Chimus;Bares y Discotecas;ND;Planta turística;Ministerio del Interior;;;ND;ND
53;2019;Loja;Zapotillo;Zapotillo;Distk de Brother;Bares y Discotecas;ND;Planta turística;Ministerio del Interior;;;ND;ND
